Sample,Year,Season,Season.Year,Depth.cm,Treatment,Block,Section,Point,PMC.ppm,WEOC.ppm,WEON.ppm,MAC,OrganicNrelease,N.release.used,lbsofNreleased,Ncredits.kg.ha,Soil.health.score
2020-Fall-2-1,2020,Fall,Fall20,0-30 cm,Drained,1,Plot 1,2,54.98913,177.563985,10.15281281,0.30968628,12.57674733,10.15281281,36.55012612,40.97269138,8.289834131
2020-Fall-5-1,2020,Fall,Fall20,0-30 cm,Drained,1,Plot 1,5,52.38303333,194.161384,8.905001227,0.269791203,9.609963968,8.905001227,32.05800442,35.93702295,8.070417296
2020-Fall-9-1,2020,Fall,Fall20,0-30 cm,Drained,1,Plot 1,9,45.07004667,153.704931,6.654247876,0.293224468,7.804753182,6.654247876,23.95529235,26.85388273,6.709478765
2020-Fall-12-1,2020,Fall,Fall20,0-30 cm,Drained,1,Plot 1,12,69.25234,243.932458,14.90021038,0.283899652,16.92065818,14.90021038,53.64075737,60.13128901,10.85457962
2020-Fall-22-1,2020,Fall,Fall20,0-30 cm,Undrained,1,Plot 2,22,71.13591667,210.940766,11.66286576,0.337231717,15.73235297,11.66286576,41.98631674,47.06666106,10.3892859
2020-Fall-25-1,2020,Fall,Fall20,0-30 cm,Undrained,1,Plot 2,25,67.60299333,186.581856,10.04387789,0.362323512,14.55653244,10.04387789,36.1579604,40.53307361,9.630505682
2020-Fall-26-1,2020,Fall,Fall20,0-30 cm,Undrained,1,Plot 2,26,50.5470607,171.823232,9.532977889,0.294180595,11.21766845,9.532977889,34.3187204,38.47128557,7.726236179
2020-Fall-29-1,2020,Fall,Fall20,0-30 cm,Drained,2,Plot 3,29,74.02283667,126.8956,3.937823735,0.583336512,9.188305447,3.937823735,14.17616545,15.89148146,9.065022041
2020-Fall-32-1,2020,Fall,Fall20,0-30 cm,Drained,2,Plot 3,32,53.36434,175.293538,8.966586099,0.30442845,10.91873562,8.966586099,32.27970996,36.18555486,7.98602799
2020-Fall-38-1,2020,Fall,Fall20,0-30 cm,Drained,2,Plot 3,38,65.63584,252.032982,14.53629019,0.260425598,15.14248825,14.53629019,52.33064468,58.66265269,10.53754284
2020-Fall-41-1,2020,Fall,Fall20,0-30 cm,Drained,2,Plot 3,41,54.65287667,76.4674962,2.961627538,0.714720363,8.46694204,2.961627538,10.66185914,11.95194409,6.526125383
2020-Fall-43-1,2020,Fall,Fall20,0-30 cm,Undrained,2,Plot 4,43,92.1488,122.808417,4.935916714,0.750345964,14.81458073,4.935916714,17.76930017,19.91938549,10.93655584
2020-Fall-44-1,2020,Fall,Fall20,0-30 cm,Undrained,2,Plot 4,44,81.31513,164.21627,7.911627359,0.495170972,15.67043283,7.911627359,28.48185849,31.92816337,10.56483844
2020-Fall-45-1,2020,Fall,Fall20,0-30 cm,Undrained,2,Plot 4,45,69.15948,185.533514,9.742842402,0.372760039,14.52696927,9.742842402,35.07423265,39.3182148,9.74556738
2020-Fall-57-1,2020,Fall,Fall20,0-30 cm,Undrained,2,Plot 4,57,65.05744667,201.254623,10.72833378,0.32325939,13.87213853,10.72833378,38.62200161,43.2952638,9.591124275
2020-Fall-61-1,2020,Fall,Fall20,0-30 cm,Undrained,1,Plot 2,61,50.03682667,201.189206,14.53023936,0.248705324,14.45499155,14.45499155,52.03796959,58.33456391,8.468598663
2020-Spring-2-1,2020,Spring,Spring20,0-30 cm,Drained,1,Plot 1,2,141.6952333,367.09256,21.70475895,0.385993204,33.51155777,21.70475895,78.13713222,87.59172522,20.01092483
2020-Spring-5-1,2020,Spring,Spring20,0-30 cm,Drained,1,Plot 1,5,107.1305933,411.47275,16.57284936,0.260358902,17.25955543,16.57284936,59.6622577,66.88139088,16.48507177
2020-Spring-9-1,2020,Spring,Spring20,0-30 cm,Drained,1,Plot 1,9,109.3541667,405.0474,16.90278189,0.269978691,18.25356369,16.90278189,60.8500148,68.2128666,16.67616886
2020-Spring-12-1,2020,Spring,Spring20,0-30 cm,Drained,1,Plot 1,12,139.4603667,467.30467,19.31225176,0.298435637,23.0538566,19.31225176,69.52410634,77.9365232,20.55030855
2020-Spring-22-1,2020,Spring,Spring20,0-30 cm,Undrained,1,Plot 2,22,86.85121667,287.21456,0.221865718,0.302391413,0.268361152,0.221865718,0.798716585,0.895361292,11.57945384
2020-Spring-25-1,2020,Spring,Spring20,0-30 cm,Undrained,1,Plot 2,25,96.73930333,352.64903,46.24626644,0.274321762,50.74542921,46.24626644,166.4865592,186.6314328,17.82504728
2020-Spring-26-1,2020,Spring,Spring20,0-30 cm,Undrained,1,Plot 2,26,128.852,190.13809,10.82879616,0.677675893,29.35365645,10.82879616,38.98366618,43.70068978,15.86946052
2020-Spring-29-1,2020,Spring,Spring20,0-30 cm,Drained,2,Plot 3,29,114.698,493.85337,23.59229335,0.232251123,21.91734654,21.91734654,78.90244755,88.4496437,18.76756304
2020-Spring-32-1,2020,Spring,Spring20,0-30 cm,Drained,2,Plot 3,32,146.6031333,369.66766,42.49610392,0.3965809,67.41257255,42.49610392,152.9859741,171.497277,22.60660032
2020-Spring-38-1,2020,Spring,Spring20,0-30 cm,Drained,2,Plot 3,38,118.8345333,363.24576,16.88433826,0.327146374,22.09460016,16.88433826,60.78361774,68.13843548,17.20434476
2020-Spring-41-1,2020,Spring,Spring20,0-30 cm,Drained,2,Plot 3,41,116.8063933,691.52776,17.62725838,0.168910635,11.90972565,11.90972565,42.87501234,48.06288883,20.35864277
